what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1414494715558
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1414494715558
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1414494715559
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1414494715559
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1414494715566
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1414494715567
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1414494715567
os,sysinfo,,,"win32",1414494715569
arch,sysinfo,,,"x86",1414494715569
ws,sysinfo,,,"win32",1414494715569
locale,sysinfo,,,"es_ES",1414494715569
processors,sysinfo,,,"2",1414494715569
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1414494715570
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1414494715570
java.specification.name,sysinfo,,,"Java Platform API Specification",1414494715570
java.specification.vendor,sysinfo,,,"Oracle Corporation",1414494715570
java.specification.version,sysinfo,,,"1.7",1414494715570
java.vendor,sysinfo,,,"Oracle Corporation",1414494715570
java.version,sysinfo,,,"1.7.0_71",1414494715570
java.vm.info,sysinfo,,,"mixed mode, sharing",1414494715570
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1414494715570
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414494715570
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1414494715570
java.vm.specification.version,sysinfo,,,"1.7",1414494715570
java.vm.vendor,sysinfo,,,"Oracle Corporation",1414494715570
java.vm.version,sysinfo,,,"24.71-b01",1414494715570
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1414494715829
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1414494715919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414494725842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414494726441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414494726516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414494730758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414494734973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1414494839398
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1414494844573
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414494944716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414494952341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1414494955543
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1414495006532
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1414495007672
